EPC,Article,Fixture
3AD33C71D5E3F7D069253DE098143C5CB0784926,C903C8CD2E96524B3C55FC755DAC1AF9D7D7ED98,10
57489B5585181F0E78C788D9D508D7861BDF7066,C903C8CD2E96524B3C55FC755DAC1AF9D7D7ED98,10
AD087DE9AF0D532E2DBACD7AA211D5ADB00D2B30,C903C8CD2E96524B3C55FC755DAC1AF9D7D7ED98,10
84967D1D1DE52F768EB0A7680FE98751E35F8EE7,C903C8CD2E96524B3C55FC755DAC1AF9D7D7ED98,10
B387C4FD57E69BC27EFA1032CC66E0DAD7E2B35F,CECC109F18DAEF37BFE7F3387D3512A0563C91EF,10
39CF437EF48AD67C0957CD7BC9DAD2293A705B20,C903C8CD2E96524B3C55FC755DAC1AF9D7D7ED98,10
2243D38458838A5BF6CFBA4FC8FE4BEDFFA12326,C903C8CD2E96524B3C55FC755DAC1AF9D7D7ED98,10
CEC280141C3BF5BA4E20428EAF60E48A9B54E518,CECC109F18DAEF37BFE7F3387D3512A0563C91EF,10
6A12A0B2B543FAB18A23D31382212DF8A2000D26,CECC109F18DAEF37BFE7F3387D3512A0563C91EF,10
EAEC0185AD9476E92A7439B12AD85033C5077E28,CECC109F18DAEF37BFE7F3387D3512A0563C91EF,10
C01747F80FB525C032A21020837AC32E3AD9390E,CECC109F18DAEF37BFE7F3387D3512A0563C91EF,10
B7B15734690C2F81AF0838354320A5EFDF35B05C,CECC109F18DAEF37BFE7F3387D3512A0563C91EF,10
1402BFE08D88103D3D10F227CF15BC64DA60CB1D,C903C8CD2E96524B3C55FC755DAC1AF9D7D7ED98,10
3065DF08C8865FC17643A9EF646A7BE12AE62B9B,A50FC5536586120D87F8F3A1ED36B5F9389AD39C,10
7A399C9DE270660E831B2E6608BDC039E45E66E4,21F8F72283DA2C01168659A34346925DE953C57C,10
F760EBF0097192D34A28BFF0BB9F8F8080F5F159,21F8F72283DA2C01168659A34346925DE953C57C,10
5BE960E120506CA54FD34D33C89B76E0B507443A,21F8F72283DA2C01168659A34346925DE953C57C,10
F4C950E1904555D8181749156FA47EF85C5B2176,21F8F72283DA2C01168659A34346925DE953C57C,10
BC1C8254BD6EC892BCE80432F6C5D0205B681AE2,21F8F72283DA2C01168659A34346925DE953C57C,10
50DCF92DE23A4A41D0B7C74AD53D7B68FDFDD045,21F8F72283DA2C01168659A34346925DE953C57C,10
50959EFFAAD7DCE1555613A17DA09923F013170A,21F8F72283DA2C01168659A34346925DE953C57C,10
22AEBBE9DB99D670666E3A2EFE0260A955019849,21F8F72283DA2C01168659A34346925DE953C57C,10
A5855D1BAEC010BCFB23DE0B12FEDE31E5001CCE,21F8F72283DA2C01168659A34346925DE953C57C,10
898B2E69FE15FD29B3BDCF1DE2DA149785E5AE06,21F8F72283DA2C01168659A34346925DE953C57C,10
951A608452FA942D1D59689A44046FFD914D2E9C,21F8F72283DA2C01168659A34346925DE953C57C,10
193AB64C33FB48C70BD8DDE6E7E7C04A19D795BE,21F8F72283DA2C01168659A34346925DE953C57C,10
5C7A2D7B22CE477070A3F313E2CEC752E5E1BE65,21F8F72283DA2C01168659A34346925DE953C57C,10
DE7DECE2BBBB7B9B2F350B6CE367BDA31BA67AD8,21F8F72283DA2C01168659A34346925DE953C57C,10
D1433AF3A15BFB8DF1113ED674B2BA56D718F6C5,21F8F72283DA2C01168659A34346925DE953C57C,10
4D91D69064DC2BC8DE73FD8390FDC8410FDBE223,21F8F72283DA2C01168659A34346925DE953C57C,10
F28ACF24E5533BEA0B4AFC7316BE2C1339B6D51F,21F8F72283DA2C01168659A34346925DE953C57C,10
6D5026CF1CB7B58CB0B0BBD49953CDBECDB2EE33,21F8F72283DA2C01168659A34346925DE953C57C,10
57726FE50A7A882BD1713DD78039CE15088C6A5A,21F8F72283DA2C01168659A34346925DE953C57C,10
0784356E25C866E9318A948C4C91B8B6F689F900,21F8F72283DA2C01168659A34346925DE953C57C,10
B7C1F7E88B832895FCA3513ABB0426AEACACCD50,21F8F72283DA2C01168659A34346925DE953C57C,10
80B1DE8D844CA41847551C42365E4389F72C4C6A,21F8F72283DA2C01168659A34346925DE953C57C,10
D9DD100DA88B870D1F7EF0671B7C4E5B110DEF69,21F8F72283DA2C01168659A34346925DE953C57C,10
6B4825022D71C68EB9404AB90C6523DBF5C78EC8,21F8F72283DA2C01168659A34346925DE953C57C,10
FDA8DE063FA72714D4FA082C6DE4336730EAAEA3,21F8F72283DA2C01168659A34346925DE953C57C,10
9F3CE4D49D7A2C02EA94B347452741B5B760A0DE,21F8F72283DA2C01168659A34346925DE953C57C,10
37901212E27DF10630E6301921873120A72C7919,21F8F72283DA2C01168659A34346925DE953C57C,10
A70C046F843B7B9B31D8F9340A292CD98A5635E8,21F8F72283DA2C01168659A34346925DE953C57C,10
2259240E47208DA22E1244BD7B62D580030E9D3D,21F8F72283DA2C01168659A34346925DE953C57C,10
50DA6E16C3705540ECC3382201C69ED507457A9E,21F8F72283DA2C01168659A34346925DE953C57C,10
ED34F31AD43E3A03DB67E595D41314E9D13408EA,21F8F72283DA2C01168659A34346925DE953C57C,10
D94E73AA479D02B658A4A079F9B9408D9EDFEB0B,21F8F72283DA2C01168659A34346925DE953C57C,10
42FC3DDD6EAA24F72D0942A5055C3D08FEDD4627,3D1B4E55CBBB1EAF42E3D209ADA91EFB0A86464A,10
B95147ADA32BEA7680619BD2D042F0A5D952BD24,A50FC5536586120D87F8F3A1ED36B5F9389AD39C,10
A562BE30D6F4C759D2FFF187CB00951D4364D910,A50FC5536586120D87F8F3A1ED36B5F9389AD39C,10
271B810D2F0BEFEE6CC10149541ACC1C95C1292A,F2F81C63A1730642CA223D6F040071D5A9CEC822,11
491211C63050BF1D694CF7F3DCA9172D02CFA916,F2F81C63A1730642CA223D6F040071D5A9CEC822,11
4187D254D3FE029600E6040CED865B3F0777801A,F2F81C63A1730642CA223D6F040071D5A9CEC822,11
969008B7C881E11134BC7BA73BA32D33E9A35F6D,F2F81C63A1730642CA223D6F040071D5A9CEC822,11
8890BAD49F4B12DD2BDF40F57EF2E3B61D6A36FE,F2F81C63A1730642CA223D6F040071D5A9CEC822,11
5BF6965D26111CA9F122F2F6D261CE06AB23FF97,F2F81C63A1730642CA223D6F040071D5A9CEC822,11
70983AB25331856D33F0FFDDB7C4AEF1917A5376,F2F81C63A1730642CA223D6F040071D5A9CEC822,11
E92D3A33EAE6D045DFDF1002ED1532060F620FD5,F2F81C63A1730642CA223D6F040071D5A9CEC822,11
8DD641EB7626AC60E7F9576423565D649D0F760A,F2F81C63A1730642CA223D6F040071D5A9CEC822,11
93E81C32F5CA95F0D939F4E27141E8A9AE5E7454,F2F81C63A1730642CA223D6F040071D5A9CEC822,11
BA0296A186FACDB584D6C6DD4495B8BB9BA5EA3C,F2F81C63A1730642CA223D6F040071D5A9CEC822,11
112321F3E7C63E68D65DB397B20D279B2D1DF0AC,F2F81C63A1730642CA223D6F040071D5A9CEC822,11
33768091D334143CF2A9B71F990D9B2E75619383,F2F81C63A1730642CA223D6F040071D5A9CEC822,11
